ID	mean_y_probes_value	y_probes_sd	z_score	sex
1	GSM1891989_P13.CEL	3.07791902941119	0.99156193487288	-0.452002092893266	female
2	GSM1891990_Q10.CEL	4.38545077442615	1.95335972293037	0.669240913823328	male
3	GSM1891991_Q7.CEL	4.50954479292102	1.7621903990627	1.02190443048505	male
4	GSM1891992_P1.CEL	4.20662623517162	1.7827685835954	0.558123346897757	male
5	GSM1891993_P10.CEL	4.06618124240734	1.79505829783615	0.44369426074406	male
6	GSM1891994_P11.CEL	4.06211621921401	1.7612673285029	0.43912078704169	male
7	GSM1891995_P12.CEL	3.98543159506505	2.00087181885491	0.220136462457691	male
8	GSM1891996_P14.CEL	2.99538182342444	1.0542439791177	-0.64431283441503	female
9	GSM1891997_P15.CEL	2.99838524047983	1.11393339982787	-0.665990281512812	female
10	GSM1891998_P16.CEL	2.99419177292355	0.870754226109253	-0.474184927307675	female
11	GSM1891999_P17.CEL	2.9245226829327	0.972324919937535	-0.672389492589576	female
12	GSM1892000_P18.CEL	2.97480566476956	0.850027297085508	-0.476488177105923	female
13	GSM1892001_P19.CEL	2.83398374265698	0.909592944609735	-0.720026803646117	female
14	GSM1892002_P2.CEL	3.0304464029594	1.02307645259615	-0.545506779705161	female
15	GSM1892003_P20.CEL	2.71691092307279	0.98709895597042	-0.973618375879348	female
16	GSM1892004_P4.CEL	2.92768941576223	0.884648205449252	-0.576132195404049	female
17	GSM1892005_P5.CEL	3.04238082637913	0.986778065297002	-0.54401057338901	female
18	GSM1892006_P6.CEL	4.00895954376113	1.64094059692226	0.557449033338997	male
19	GSM1892007_P9.CEL	3.1312923950157	1.07850713813615	-0.440558336152135	female
20	GSM1892008_Q1.CEL	3.74950474896207	1.63538052947044	0.110965546133724	male
21	GSM1892009_Q11.CEL	2.85491460812436	1.081012813315	-0.886827499151865	female
22	GSM1892010_Q12.CEL	4.09555458956812	1.9239489083225	0.444971623652002	male
23	GSM1892011_Q13.CEL	3.8826641717522	1.5064260147624	0.287812178823252	male
24	GSM1892012_Q14.CEL	4.66754785891918	1.93431374571503	1.06646453337474	male
25	GSM1892013_Q15.CEL	4.6540256641238	2.15508549769598	0.896392910293118	male
26	GSM1892014_Q16.CEL	2.67707091557997	1.05645555547753	-1.09937979948302	female
27	GSM1892015_Q17.CEL	3.99732452431803	1.55021498355464	0.429942321255222	male
28	GSM1892016_Q18.CEL	4.56924946813877	1.92729541981703	0.891111767353738	male
29	GSM1892017_Q19.CEL	4.41865481410738	1.66582125035605	0.924046885426242	male
30	GSM1892018_Q2.CEL	4.73038867412148	1.99772192252717	1.16273873440749	male
31	GSM1892019_Q20.CEL	3.32783175683157	1.04296581404146	-0.268487443475174	female
32	GSM1892020_Q4.CEL	2.89166271592735	1.19326387195164	-0.863345516026268	female
33	GSM1892021_Q5.CEL	2.90919340119574	1.05483980555219	-0.663279091876587	female
34	GSM1892022_Q6.CEL	2.83323643340844	1.06973252706204	-0.784970376320329	female
35	GSM1892023_Q8.CEL	4.48102490311616	1.84898352004559	0.891638658139913	male
36	GSM1892024_Q9.CEL	4.1891021950795	1.70332524846856	0.73575620268532	male
