ScanDate
GSM594041_Cont_1_HuGene-1_0-st-v1_.CEL	2009-03-21T04:09:18Z
GSM594042_Cont_2_HuGene-1_0-st-v1_.CEL	2009-03-26T06:27:39Z
GSM594043_Cont_3_HuGene-1_0-st-v1_.CEL	2009-02-03T05:02:20Z
GSM594044_Cont_4_HuGene-1_0-st-v1_.CEL	2009-03-21T04:18:12Z
GSM594045_Cont_5_HuGene-1_0-st-v1_.CEL	2009-03-21T04:27:03Z
GSM594046_Cont_6_HuGene-1_0-st-v1_.CEL	2009-03-26T06:36:29Z
GSM594047_Cont_7_HuGene-1_0-st-v1_.CEL	2009-03-15T05:46:30Z
GSM594048_Cont_8_HuGene-1_0-st-v1_.CEL	2009-03-26T06:18:50Z
GSM594049_FGR_1_HuGene-1_0-st-v1_.CEL	2009-03-04T06:31:07Z
GSM594050_FGR_2_HuGene-1_0-st-v1_.CEL	2009-03-21T05:01:52Z
GSM594051_FGR_3_HuGene-1_0-st-v1_.CEL	2009-03-04T06:39:41Z
GSM594052_FGR_4_HuGene-1_0-st-v1_.CEL	2009-03-15T06:30:51Z
GSM594053_FGR_5_HuGene-1_0-st-v1_.CEL	2009-03-26T07:20:35Z
GSM594054_FGR_6_HuGene-1_0-st-v1_.CEL	2009-03-04T06:22:20Z
GSM594055_FGR_7_HuGene-1_0-st-v1_.CEL	2009-03-15T06:48:37Z
GSM594056_FGR_8_HuGene-1_0-st-v1_.CEL	2009-03-21T04:53:07Z
GSM594057_PE_1_HuGene-1_0-st-v1_.CEL	2009-03-15T05:55:30Z
GSM594058_PE_2_HuGene-1_0-st-v1_.CEL	2009-02-03T05:28:43Z
GSM594059_PE_3_HuGene-1_0-st-v1_.CEL	2009-02-03T05:19:59Z
GSM594060_PE_4_HuGene-1_0-st-v1_.CEL	2009-03-04T06:13:28Z
GSM594061_PE_5_HuGene-1_0-st-v1_.CEL	2009-03-15T06:04:18Z
GSM594062_PE_6_HuGene-1_0-st-v1_.CEL	2009-03-26T06:45:22Z
GSM594063_PE_7_HuGene-1_0-st-v1_.CEL	2009-03-21T04:44:34Z
GSM594064_PE_8_HuGene-1_0-st-v1_.CEL	2009-03-21T04:35:45Z
